WB_id,symbol,sequence,live_dead,type,logFC,logCPM,PValue,FDR
WBGene00000046,acr-7,T09A5.3,Live,protein_coding_gene,-0.103304138,1.66898955,0.614112722,0.858918204
WBGene00021452,,Y39F10A.1,Live,protein_coding_gene,-0.120541101,1.179426325,0.614108616,0.858918204
WBGene00020441,bcas-2,T12A2.7,Live,protein_coding_gene,0.059789195,4.063393288,0.614340652,0.859153093
WBGene00011283,ttbk-7,R90.1,Live,protein_coding_gene,0.043436302,6.777869609,0.614568021,0.85938715
WBGene00002051,ifa-3,F52E10.5,Live,protein_coding_gene,0.160119165,1.471072931,0.614714312,0.859507798
WBGene00015541,,C06E7.4,Live,protein_coding_gene,0.115657401,4.006741799,0.614792676,0.859533454
WBGene00018282,,F41D9.2,Live,protein_coding_gene,0.105748526,2.314581435,0.614955522,0.859661241
WBGene00045245,ttr-34,F09A5.9,Live,protein_coding_gene,-0.15341557,1.333760318,0.615004125,0.859661241
WBGene00001442,fkh-10,C25A1.2,Live,protein_coding_gene,0.107505969,1.665902918,0.615220969,0.859766834
WBGene00010248,,F58D5.9,Live,protein_coding_gene,-0.117768622,1.352382295,0.61525976,0.859766834
WBGene00015976,,C18E3.9,Live,protein_coding_gene,0.07651437,3.021683436,0.61523481,0.859766834
WBGene00003798,npp-12,T23H2.1,Live,protein_coding_gene,-0.064009063,7.263134285,0.615426386,0.859915776
WBGene00020831,,T26C12.1,Live,protein_coding_gene,-0.052231711,7.423987921,0.615561214,0.859936374
WBGene00022873,,ZK1240.9,Live,protein_coding_gene,-0.07777559,2.472408582,0.615530971,0.859936374
WBGene00021978,,Y58A7A.4,Live,protein_coding_gene,-0.221764639,5.245301562,0.615622909,0.859938682
WBGene00006704,ubc-7,F58A4.10,Live,protein_coding_gene,-0.046073579,6.679305663,0.61602337,0.860203711
WBGene00012289,,W05H12.1,Live,protein_coding_gene,0.051973433,5.842673978,0.616053718,0.860203711
WBGene00018517,,F46G11.4,Live,protein_coding_gene,0.145748533,0.884266737,0.616055395,0.860203711
WBGene00019580,oac-58,K09E10.2,Live,protein_coding_gene,-0.129397801,1.628173862,0.616008005,0.860203711
WBGene00021683,,Y48G1C.10,Live,protein_coding_gene,-0.062064157,4.150026211,0.61611295,0.860203711
WBGene00019691,,K12H6.12,Live,protein_coding_gene,0.11099437,2.736360892,0.616357127,0.860460744
WBGene00020007,,R11F4.1,Live,protein_coding_gene,0.074712075,7.858373836,0.616422869,0.860468648
WBGene00005020,sqv-2,Y110A2AL.14,Live,protein_coding_gene,0.075016325,3.158233387,0.616487698,0.860475276
WBGene00022067,ivph-3,Y67D8C.3,Live,protein_coding_gene,0.061106082,3.825908176,0.61659349,0.860539073
WBGene00001444,flp-1,F23B2.5,Live,protein_coding_gene,0.059796799,6.735008451,0.617230538,0.860589541
WBGene00005432,srh-222,F47C12.10,Live,protein_coding_gene,0.169606341,0.733828474,0.61684264,0.860589541
WBGene00009179,kbp-3,F26H11.1,Live,protein_coding_gene,-0.109447899,2.177443205,0.616693152,0.860589541
WBGene00010221,,F57G12.1,Live,protein_coding_gene,-0.050031843,8.973420816,0.617095146,0.860589541
WBGene00011319,,T01C3.2,Live,protein_coding_gene,0.092954752,2.629327013,0.617141963,0.860589541
WBGene00011758,,T13H5.4,Live,protein_coding_gene,-0.048100222,5.776309009,0.616903484,0.860589541
WBGene00011794,nep-21,T16A9.4,Live,protein_coding_gene,0.051084536,5.986014542,0.617183604,0.860589541
WBGene00014262,,ZK1321.4,Live,protein_coding_gene,-0.046168547,6.265408116,0.61697588,0.860589541
WBGene00015219,,B0507.2,Live,protein_coding_gene,0.052153553,6.074986961,0.616949645,0.860589541
WBGene00044025,,T01G1.4,Live,protein_coding_gene,-0.05595551,4.999006176,0.61703909,0.860589541
WBGene00011065,,R06C7.6,Live,protein_coding_gene,-0.166612791,0.827636497,0.617410738,0.860756993
WBGene00004776,ser-1,F59C12.2,Live,protein_coding_gene,0.057110476,4.622239271,0.617751555,0.860883406
WBGene00015381,,C03B1.13,Live,protein_coding_gene,-0.121815148,2.158924732,0.617694801,0.860883406
WBGene00019028,srb-13,F58A6.11,Live,protein_coding_gene,-0.217620993,-0.231486131,0.617607167,0.860883406
WBGene00019721,,M01H9.5,Live,protein_coding_gene,0.183064989,0.765130567,0.617801958,0.860883406
WBGene00021246,,Y22D7AL.7,Live,protein_coding_gene,-0.094588073,1.96880442,0.617663521,0.860883406
WBGene00010192,,F57B7.2,Live,protein_coding_gene,0.05824199,4.537489638,0.617902297,0.860939458
WBGene00016652,got-2.1,C44E4.3,Live,protein_coding_gene,-0.079120903,2.683392735,0.618122081,0.861161911
WBGene00002128,inx-6,C36H8.2,Live,protein_coding_gene,0.072235315,5.930379199,0.618320205,0.861296259
WBGene00010503,,K02C4.5,Live,protein_coding_gene,0.059672911,5.210449781,0.618338789,0.861296259
WBGene00015388,,C03F11.2,Live,protein_coding_gene,0.19030514,1.134126248,0.618558406,0.861518379
WBGene00013804,,Y116A8C.27,Live,protein_coding_gene,0.084305597,3.058154023,0.618624479,0.861526622
WBGene00014227,,ZK1128.1,Live,protein_coding_gene,-0.053824119,4.130404389,0.618888266,0.86163124
WBGene00017372,,F10G7.9,Live,protein_coding_gene,-0.053563822,6.889004863,0.618802342,0.86163124
WBGene00018951,,F56C9.7,Live,protein_coding_gene,0.05833901,5.004122714,0.618940245,0.86163124
WBGene00019380,,K04C2.2,Live,protein_coding_gene,0.053183437,5.744675543,0.618882838,0.86163124
WBGene00015591,cyk-7,C08C3.4,Live,protein_coding_gene,0.099719627,2.017846763,0.619248413,0.861976458
WBGene00007240,,C01G10.15,Live,protein_coding_gene,-0.122578354,2.412532709,0.619469187,0.862199971
WBGene00002008,hsp-4,F43E2.8,Live,protein_coding_gene,-0.150249132,6.511937657,0.61965859,0.862212215
WBGene00013443,such-1,Y66D12A.17,Live,protein_coding_gene,0.089573325,2.949806058,0.619658359,0.862212215
WBGene00019811,egg-2,R01H2.3,Live,protein_coding_gene,-0.135655029,1.868778057,0.619566164,0.862212215
WBGene00004723,sap-49,C08B11.5,Live,protein_coding_gene,-0.056917242,5.71483586,0.619795211,0.862231831
WBGene00011941,,T23B5.4,Live,protein_coding_gene,-0.120504602,1.467585022,0.619853298,0.862231831
WBGene00013149,,Y53F4B.1,Live,protein_coding_gene,-0.1585559,0.786481585,0.619786902,0.862231831
WBGene00002046,icln-1,C01F6.8,Live,protein_coding_gene,0.051814549,5.087553317,0.6203435,0.862459432
WBGene00007741,glb-8,C26C6.7,Live,protein_coding_gene,-0.087043675,2.661259403,0.620364014,0.862459432
WBGene00009337,uig-1,F32F2.1,Live,protein_coding_gene,-0.050755573,6.133695148,0.620155429,0.862459432
WBGene00010864,xbx-3,M04D8.6,Live,protein_coding_gene,0.06628413,4.063453625,0.620239265,0.862459432
WBGene00013723,,Y106G6H.13,Live,protein_coding_gene,0.197457663,-0.096375458,0.620378234,0.862459432
WBGene00017052,,D2024.4,Live,protein_coding_gene,-0.337587649,2.760524305,0.620171176,0.862459432
WBGene00020933,,W02D3.4,Live,protein_coding_gene,-0.051590908,5.350298077,0.620849118,0.863030289
WBGene00004751,sea-2,K10G6.3,Live,protein_coding_gene,-0.047467681,8.030181893,0.621011497,0.863093346
WBGene00010141,,F56A8.5,Live,protein_coding_gene,-0.053473671,4.765804234,0.62107527,0.863093346
WBGene00017080,lec-12,DC2.3,Live,protein_coding_gene,-0.070178053,4.477493828,0.621028013,0.863093346
WBGene00006499,tag-153,F44A2.1,Live,protein_coding_gene,-0.056031831,5.564689779,0.621204972,0.863189832
WBGene00002717,let-526,C01G8.9,Live,protein_coding_gene,0.049505058,9.031124083,0.621439956,0.863432581
WBGene00008777,,F13H10.6,Live,protein_coding_gene,0.12825743,2.81703438,0.621625627,0.863606773
WBGene00013750,,Y113G7A.13,Live,protein_coding_gene,0.098471753,2.18269259,0.621865351,0.863856019
WBGene00006371,syx-3,F35C8.4,Live,protein_coding_gene,0.058416425,4.132533521,0.622052484,0.864032168
WBGene00014075,dhhc-4,ZK757.4,Live,protein_coding_gene,0.054561597,4.834192247,0.622116629,0.864037468
WBGene00001994,hpk-1,F20B6.8,Live,protein_coding_gene,0.060930242,8.005031866,0.622365412,0.864261869
WBGene00003031,lin-46,R186.4,Live,protein_coding_gene,0.076652899,3.477809255,0.622686276,0.864261869
WBGene00003520,nas-1,F45G2.1,Live,protein_coding_gene,-0.318022495,0.109726144,0.622543039,0.864261869
WBGene00010756,,K10G9.2,Live,protein_coding_gene,0.064037256,3.879196889,0.622700616,0.864261869
WBGene00015469,,C05D2.8,Live,protein_coding_gene,0.063506096,5.123713504,0.622607302,0.864261869
